run_date,product,source_scope,outlet,title,url,main_topic,briefing_relevance,quality,noise_type,reason
2026-06-13,regiones,reg,Elmagallanews,Influenza A desplaza al Rinovirus y crecen las consultas respiratorias en la red asistencial chilena,https://www.elmagallanews.cl/noticia/adultos-mayores/influenza-desplaza-al-rinovirus-y-crecen-las-consultas-respiratorias-en-la-r,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Elmagallanews,"Columna:""Modernizar la Alta Dirección Pública también implica hacer atractivo el servicio público""",https://www.elmagallanews.cl/noticia/alta-direccion-publica/columnamodernizar-la-alta-direccion-publica-tambien-implica-hacer-atr,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Itvpatagonia,Medio Ambiente,https://www.itvpatagonia.com/categoria/medio-ambiente,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Laprensaaustral,Fuego cobra la vida de pensionada de 88 años: ardió su casa en la población Río de la Mano,https://laprensaaustral.cl/2026/06/13/fuego-cobra-la-vida-de-pensionada-de-88-anos-ardio-su-casa-en-la-poblacion-rio-de-la-mano,salud,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Laprensaaustral,Sence y Omil preparan a alumnos del Instituto Don Bosco para su futura inserción laboral,https://laprensaaustral.cl/2026/06/13/sence-y-omil-preparan-a-alumnos-del-instituto-don-bosco-para-su-futura-insercion-laboral,educacion,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Laprensaaustral,Ciudadano chino agredió e intentó asfixiar a su pareja en Puerto Natales,https://laprensaaustral.cl/2026/06/13/ciudadano-chino-agredio-e-intento-asfixiar-a-su-pareja-en-puerto-natales,salud,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Laprensaaustral,Sernac emite alerta de seguridad por cuatro modelos de estufas de reconocida marca,https://laprensaaustral.cl/2026/06/13/sernac-emite-alerta-de-seguridad-por-cuatro-modelos-de-estufas-de-reconocida-marca,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,13 DE JUNIO DE 1940: CHILE AMPLIÓ SU NEUTRALIDAD MIENTRAS LA OFENSIVA ALEMANA AVANZABA HACIA PARÍS,https://www.radiopolar.com/13-junio-1940-chile-amplio-neutralidad-ofensiva-alemana-avanzaba-paris,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,DOCUMENTAL SOBRE GAUCHOS DE LA PATAGONIA DESTACA EN HISTÓRICA PARTICIPACIÓN CHILENA EN SHEFFIELD DOCFEST 2026,https://www.radiopolar.com/documental-gauchos-patagonia-destaca-historica-participacion-chilena-sheffield-docfest-2026,cultura,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,OMIL Y SENCE ENTREGAN HERRAMIENTAS DE EMPLEABILIDAD A ESTUDIANTES DE 4° MEDIO DEL INSTITUTO DON BOSCO,https://www.radiopolar.com/omil-sence-entregan-herramientas-empleabilidad-estudiantes-4-instituto-don-bosco,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,"INACAP PUNTA ARENAS REFUERZA SU DESPLIEGUE EN MAGALLANES CON OFERTA ACADÉMICA, APOYO ESTUDIANTIL Y VINCULACIÓN TERRITORIAL",https://www.radiopolar.com/inacap-punta-arenas-refuerza-despliegue-magallanes-oferta-academica-apoyo-estudiantil-vinculacion-territorial,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,CASCADA EXPEDICIONES Y ECOCAMP PATAGONIA CIERRAN TEMPORADA CON MÁS DE 4.700 VIAJEROS Y NUEVAS NOMINACIONES INTERNACIONALES,https://www.radiopolar.com/cascada-expediciones-ecocamp-patagonia-cierran-temporada-4700-viajeros-nominaciones-internacionales,internacional,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,JULIO PERTUZÉ ASUME LA PRESIDENCIA DE FUNDACIÓN CHILE EN EL AÑO DE SU 50° ANIVERSARIO,https://www.radiopolar.com/julio-pertuze-asume-presidencia-fundacion-chile-ano-50-aniversario,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,CANCILLERÍA Y GREMIOS EXPORTADORES REFUERZAN COORDINACIÓN PARA ENFRENTAR NEGOCIACIÓN ARANCELARIA CON ESTADOS UNIDOS,https://www.radiopolar.com/cancilleria-gremios-exportadores-refuerzan-coordinacion-enfrentar-negociacion-arancelaria-unidos,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,ASOCIACIÓN DE ASEGURADORES DE CHILE Y PNUD FIRMAN ACUERDO PARA FORTALECER LA RESILIENCIA FINANCIERA EN EL PAÍS,https://www.radiopolar.com/asociacion-aseguradores-chile-pnud-firman-fortalecer-resiliencia-financiera-pais,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
2026-06-13,regiones,reg,Radiopolar,CABO DE HORNOS PARTICIPÓ EN ENCUENTRO DE COMUNIDADES PORTAL PARA FORTALECER EL TURISMO Y LA CONSERVACIÓN EN LA PATAGONIA,https://www.radiopolar.com/cabo-hornos-participo-encuentro-comunidades-portal-fortalecer-turismo-conservacion-patagonia,politica_pais_cronica,medium,good,none,informative_or_unknown_but_not_filler
